rcr r12, 1	49d1dc	
rcr qword ptr [rax], 1	48d118	
rcr qword ptr [r13 + r14*2], 1	4bd15c7500	
rcr rax, cl	48d3d8	
rcr r12, cl	49d3dc	
rcr qword ptr [rax], cl	48d318	
rcr qword ptr [r13 + r14*2], cl	4bd35c7500	
rcr rax, 0x7f	48c1d87f	
rcr r12, 0x7f	49c1dc7f	
rcr qword ptr [rax], 0x7f	48c1187f	
rcr qword ptr [r13 + r14*2], 0x7f	4bc15c75007f	
inc rax	48ffc0	
inc r12	49ffc4	
inc qword ptr [rax]	48ff00	
inc qword ptr [r13 + r14*2]	4bff447500	
dec rax	48ffc8	
dec r12	49ffcc	
dec qword ptr [rax]	48ff08	
dec qword ptr [r13 + r14*2]	4bff4c7500	
neg rax	48f7d8	
neg r12	49f7dc	
neg qword ptr [rax]	48f718	
neg qword ptr [r13 + r14*2]	4bf75c7500	
not rax	48f7d0	
not r12	49f7d4	
not qword ptr [rax]	48f710	
not qword ptr [r13 + r14*2]	4bf7547500	
mul rax	48f7e0	
mul r12	49f7e4	
mul qword ptr [rax]	48f720	
mul qword ptr [r13 + r14*2]	4bf7647500	
imul rax	48f7e8	
imul r12	49f7ec	
imul qword ptr [rax]	48f728	
imul qword ptr [r13 + r14*2]	4bf76c7500	
div rax	48f7f0	
div r12	49f7f4	
div qword ptr [rax]	48f730	
div qword ptr [r13 + r14*2]	4bf7747500	
idiv rax	48f7f8	
idiv r12	49f7fc	
idiv qword ptr [rax]	48f738	
idiv qword ptr [r13 + r14*2]	4bf77c7500	
imul rax, rax	480fafc0	
imul rax, r12	490fafc4	
imul rax, qword ptr [rax]	480faf00	
imul rax, qword ptr [r13 + r14*2]	4b0faf447500	
imul r12, rax	4c0fafe0	
imul r12, r12	4d0fafe4	
imul r12, qword ptr [rax]	4c0faf20	
imul r12, qword ptr [r13 + r14*2]	4f0faf647500	
imul rax, rax, 0x7f	486bc07f	
imul rax, r12, 0x7f	496bc47f	
imul rax, qword ptr [rax], 0x7f	486b007f	
imul rax, qword ptr [r13 + r14*2], 0x7f	4b6b4475007f	
imul r12, rax, 0x7f	4c6be07f	
imul r12, r12, 0x7f	4d6be47f	
imul r12, qword ptr [rax], 0x7f	4c6b207f	
imul r12, qword ptr [r13 + r14*2], 0x7f	4f6b6475007f	
imul rax, rax, 0x7fffffff	4869c0ffffff7f	
imul rax, r12, 0x7fffffff	4969c4ffffff7f	
imul rax, qword ptr [rax], 0x7fffffff	486900ffffff7f	
imul rax, qword ptr [r13 + r14*2], 0x7fffffff	4b69447500ffffff7f	
imul r12, rax, 0x7fffffff	4c69e0ffffff7f	
imul r12, r12, 0x7fffffff	4d69e4ffffff7f	
imul r12, qword ptr [rax], 0x7fffffff	4c6920ffffff7f	
imul r12, qword ptr [r13 + r14*2], 0x7fffffff	4f69647500ffffff7f	
test rax, rax	4885c0	
test rax, r12	4c85e0	
test r12, rax	4985c4	
test r12, r12	4d85e4	
test qword ptr [rax], rax	488500	
test qword ptr [rax], r12	4c8520	
test qword ptr [r13 + r14*2], rax	4b85447500	
test qword ptr [r13 + r14*2], r12	4f85647500	
test rax, 0x7fffffff	48a9ffffff7f	
test r12, 0x7fffffff	49f7c4ffffff7f	
test qword ptr [rax], 0x7fffffff	48f700ffffff7f	
test qword ptr [r13 + r14*2], 0x7fffffff	4bf7447500ffffff7f	
push rax	50	
push r12	4154	
pop rax	58	
pop r12	415c	
push rax	50	
push r12	4154	
push qword ptr [rax]	ff30	
push qword ptr [r13 + r14*2]	43ff747500	
push 0x7fffffff	68ffffff7f	
xchg rax, rax	90	
xchg rax, r12	4994	
xchg r12, rax	4994	
xchg r12, r12	4d87e4	
xchg qword ptr [rax], rax	488700	
xchg qword ptr [rax], r12	4c8720	
xchg qword ptr [r13 + r14*2], rax	4b87447500	
xchg qword ptr [r13 + r14*2], r12	4f87647500	
xadd rax, rax	480fc1c0	
xadd rax, r12	4c0fc1e0	
xadd r12, rax	490fc1c4	
xadd r12, r12	4d0fc1e4	
xadd qword ptr [rax], rax	480fc100	
xadd qword ptr [rax], r12	4c0fc120	
xadd qword ptr [r13 + r14*2], rax	4b0fc1447500	
xadd qword ptr [r13 + r14*2], r12	4f0fc1647500	
cmpxchg rax, rax	480fb1c0	
cmpxchg rax, r12	4c0fb1e0	
cmpxchg r12, rax	490fb1c4	
cmpxchg r12, r12	4d0fb1e4	
cmpxchg qword ptr [rax], rax	480fb100	
cmpxchg qword ptr [rax], r12	4c0fb120	
cmpxchg qword ptr [r13 + r14*2], rax	4b0fb1447500	
cmpxchg qword ptr [r13 + r14*2], r12	4f0fb1647500	
bt rax, rax	480fa3c0	
bt rax, r12	4c0fa3e0	
bt r12, rax	490fa3c4	
bt r12, r12	4d0fa3e4	
bt qword ptr [rax], rax	480fa300	
bt qword ptr [rax], r12	4c0fa320	
bt qword ptr [r13 + r14*2], rax	4b0fa3447500	
bt qword ptr [r13 + r14*2], r12	4f0fa3647500	
bt rax, 0x7f	480fbae07f	
bt r12, 0x7f	490fbae47f	
bt qword ptr [rax], 0x7f	480fba207f	
bt qword ptr [r13 + r14*2], 0x7f	4b0fba6475007f	
bts rax, rax	480fabc0	
bts rax, r12	4c0fabe0	
bts r12, rax	490fabc4	
bts r12, r12	4d0fabe4	
bts qword ptr [rax], rax	480fab00	
bts qword ptr [rax], r12	4c0fab20	
bts qword ptr [r13 + r14*2], rax	4b0fab447500	
bts qword ptr [r13 + r14*2], r12	4f0fab647500	
bts rax, 0x7f	480fbae87f	
bts r12, 0x7f	490fbaec7f	
bts qword ptr [rax], 0x7f	480fba287f	
bts qword ptr [r13 + r14*2], 0x7f	4b0fba6c75007f	
btr rax, rax	480fb3c0	
btr rax, r12	4c0fb3e0	
btr r12, rax	490fb3c4	
btr r12, r12	4d0fb3e4	
btr qword ptr [rax], rax	480fb300	
btr qword ptr [rax], r12	4c0fb320	
btr qword ptr [r13 + r14*2], rax	4b0fb3447500	
btr qword ptr [r13 + r14*2], r12	4f0fb3647500	
btr rax, 0x7f	480fbaf07f	
btr r12, 0x7f	490fbaf47f	
btr qword ptr [rax], 0x7f	480fba307f	
btr qword ptr [r13 + r14*2], 0x7f	4b0fba7475007f	
btc rax, rax	480fbbc0	
btc rax, r12	4c0fbbe0	
btc r12, rax	490fbbc4	
btc r12, r12	4d0fbbe4	
btc qword ptr [rax], rax	480fbb00	
btc qword ptr [rax], r12	4c0fbb20	
btc qword ptr [r13 + r14*2], rax	4b0fbb447500	
btc qword ptr [r13 + r14*2], r12	4f0fbb647500	
btc rax, 0x7f	480fbaf87f	
btc r12, 0x7f	490fbafc7f	
btc qword ptr [rax], 0x7f	480fba387f	
btc qword ptr [r13 + r14*2], 0x7f	4b0fba7c75007f	
bsf rax, rax	480fbcc0	
bsf rax, r12	490fbcc4	
bsf rax, qword ptr [rax]	480fbc00	
bsf rax, qword ptr [r13 + r14*2]	4b0fbc447500	
bsf r12, rax	4c0fbce0	
bsf r12, r12	4d0fbce4	
bsf r12, qword ptr [rax]	4c0fbc20	
